Header,Section
Companies — profitable or not — make 2024 the year of cost cuts,Automobile
What the U.S. can learn from Norway when it comes to EV adoption,Automobile
UAW threatens to strike Ford’s Kentucky Truck Plant if local demands aren’t met,Automobile
2 takeaways from Ford CEO Jim Farley that boost our confidence in the automaker’s stock,Automobile
"Ford CEO says forget Tesla, ‘Pro’ unit is auto industry’s future",Automobile
"Jeep, Dodge-maker Stellantis’ profit slides as Detroit Three strikes bite",Automobile
SpaceX files to move incorporation site from Delaware to Texas,Automobile
"Ford facing potential strike of 3,000 UK white-collar workers",Automobile
Waymo issues a voluntary recall on its self-driving vehicle software,Automobile
Tesla’s board silent after court revokes Elon Musk’s $56 billion pay package,Automobile
Chrysler reveals new Halcyon concept car as direction for future EVs,Automobile
Car repairs are getting more expensive. Here’s why,Automobile
"To get the $7,500 EV tax credit, you may no longer have to wait until tax season",Automobile
"New Kia Carnival minivan will be offered as a hybrid, maintain its SUV design",Automobile
GM to spend $19 billion through 2035 to source EV battery materials from LG Chem,Automobile
"Wheely, Uber’s luxury rival, launches in Dubai to take on UAE’s dominant player",Automobile
"Ford is reassessing its EV plans, including vertical battery integration",Automobile
"This global EV stock could double in price in 3 to 5 years, analyst says",Automobile
"Toyota investing $1.3 billion in Kentucky to build all-electric, three-row SUV",Automobile
"Ford tops fourth-quarter estimates, guides toward strong 2024",Automobile
"China auto stock to rebound 45% amid market rout, Deutsche Bank says",Automobile
Here are Jim Cramer’s rapid-fire takeaways on 6 stocks in the news Friday,Automobile
Ford’s hybrid vehicle sales surge to offset EV decline in January,Automobile
"After bankruptcy concerns, Carvana is leaner and ready for redemption",Automobile
Tesla to settle lawsuit over mishandling hazardous waste in California,Automobile
Ferrari finishes a record year by topping Wall Street’s estimates,Automobile
Tesla upgrades Model Y in China as BYD competition heats up,Automobile
"Volvo shares jump 26% on higher sales, plans to stop Polestar funding",Automobile
Elon Musk says Tesla will hold a shareholder vote to incorporate in Texas,Automobile
Tesla sued by 25 California counties over hazardous waste handling,Automobile
Here are Jim Cramer’s rapid-fire takeaways on 6 stocks in the news Wednesday,Automobile
Volkswagen sets up its own AI lab as car industry looks to embrace the tech,Automobile
China comes just shy of Japan as the world’s largest car exporter,Automobile
"Highlights of Tesla CEO Musk pay ruling: Mars, Frankenstein, self-driving car pun",Automobile
"Elon Musk’s $56 billion Tesla compensation voided by judge, shares slide",Automobile
"GM to release plug-in hybrid vehicles, backtracking on product plans",Automobile
Renault shares jump after scrapping plans to list Ampere EV unit,Automobile
"GM beats Wall Street estimates, forecasts continued strong profit in 2024",Automobile
"Race for China’s EV market could last 3 years, BYD says, claiming it wants to work with Tesla",Automobile
Is Tesla still a buy? One CIO weighs in and names 3 alternatives he likes,Automobile
I’ve never gotten as much feedback — Cramer says about booting Tesla from Magnificent Seven,Automobile
"JPMorgan sees Tesla dropping another 30%, says falling profits don’t support high valuation",Automobile
"Tesla recalls nearly 200,000 vehicles in the U.S. over rearview camera bug",Automobile
"Probe into GM’s Cruise finds poor leadership, culture issues at center of accident response",Automobile
"Analyst Dan Ives blasts Tesla, calls earnings call a ‘train wreck’ and cuts price target",Automobile
"GM, Honda begin U.S. fuel cell production in step toward replacing diesel",Automobile
Elon Musk says Chinese EV makers will ‘pretty much demolish’ most competitors without trade barriers,Automobile
Tesla shares close down 12% after automaker warns of slowdown,Automobile
Shares of Tesla suppliers in Asia take a beating after automaker misses targets,Automobile
United Auto Workers union endorses President Joe Biden for reelection over Trump,Automobile
"Tesla shares drop 6% on weak auto revenue, warning of slower growth in 2024",Automobile
United Auto Workers union expected to endorse Biden,Automobile
Here’s what analysts are expecting from Tesla earnings,Automobile
China’s EV players ramp up competition with Tesla using new tech,Automobile
"This Swiss auto parts maker’s stock could soar by 75%, Vontobel says",Automobile
Amazon wants to shape the future of car-buying. Dealers are skeptical,Automobile
"GM unveils 2025 Chevy Equinox with new rugged design, standard heated seats",Automobile
Volkswagen and more: Barclays names European ‘conviction’ stock ideas — and gives one 59% upside,Automobile
Why China poses a growing threat to the U.S. auto industry,Automobile
What Jim Cramer is watching to see where the market goes next after the S&P 500 record close,Automobile
Ford’s move to cut F-150 Lightning production will help the automaker optimize profitability,Automobile
Stellantis CEO says automaker won’t sell EVs at a loss like other carmakers,Automobile
"Ford cuts production of F-150 Lightning EV, adds jobs at Bronco and Ranger plant",Automobile
This startup has a different take on driverless cars. Now it’s launching in the U.S.,Automobile
"Elon Musk’s demand for more Tesla control could weigh on the stock, analysts say",Automobile
Cars are one of the few purchases Gen Z is reluctant to make online. Here’s why that can be smart,Automobile
Tesla slashes car prices across Europe after similar cuts in China,Automobile
China’s BYD launches AI-powered smart car technology to better compete with rivals,Automobile
Classic car auction site Bring a Trailer’s sales hit record $1.4 billion even as prices drop,Automobile
"Elon Musk wants more control of Tesla, seeks 25% voting power",Automobile
"As EV sales growth slows, some drivers could buy one for as little as $10,000 this year",Automobile
"10 years in, GM CEO Mary Barra has built her legacy on change and crisis. 2024 will bring new tests",Automobile
Ford could do 2 things to really shine in a challenging 2024 for the auto industry,Automobile
"Hertz makes ‘agile’ decision to shift strategy and sell EVs, Teslas",Automobile
"Tesla stock down on Red Sea delays, rising labor costs and price cuts",Automobile
Tesla raising factory worker pay in U.S. following UAW victories in Detroit,Automobile
China’s EV stocks start 2024 in reverse gear as price wars pressure profitability,Automobile
Tesla versus BYD: Analysts prefer one of them — giving it up to over 70% upside,Automobile
Honda teases new EVs with futuristic ‘Space-Hub’ and ‘Saloon’ concept cars,Automobile
Used car prices expected to stabilize in 2024 after two years of decreases from record highs,Automobile
Shares of China Evergrande EV unit plunge 23% after executive director is detained,Automobile
Tesla now has a clear China EV competitor. What’s next for BYD?,Automobile
A compact crossover is coming for America’s pickup trucks. Here are the top-selling cars of 2023,Automobile
China’s Xpeng claims its latest EV model could be an industry ‘game changer’,Automobile
CNBC Daily Open: Don’t read too much into market losses so far,Automobile
Robosense shares fall on debut in first Hong Kong IPO of 2024,Automobile
Musk once laughed off BYD as a threat. Now the Chinese giant has taken Tesla’s EV crown — here’s how,Automobile
"BYD’s five best-selling cars, including one edging out Tesla’s Model Y in China",Automobile
Mobileye shares plunge after chipmaker warns of order pullback,Automobile
Ford reports 7.1% increase in U.S. new vehicle sales as industry marks best year since 2019,Automobile
"Ford adjusts the pricing of its F-150 Lightning EV by as much as $10,000",Automobile
GM’s 2023 U.S. vehicle sales were its best since 2019,Automobile
Rivian stock falls 10% on declining fourth-quarter EV deliveries,Automobile
"Tesla reported 485,000 deliveries for the fourth quarter, bringing 2023 total to 1.8 million",Automobile
"From FedEx to airlines, companies are starting to lose their pricing power",Automobile
CNBC Daily Open: Will the S&P end 2023 on a record high?,Automobile
"CNBC Daily Open: For the S&P, the last mile’s the longest",Automobile
"Why the $7,500 electric vehicle tax credit may be easier — and harder — to get in 2024",Automobile
"China’s Xiaomi unveils its first EV as it looks to compete with Porsche, Tesla",Automobile
Cars are losing their value at a slower rate,Automobile
"Tesla recalls 120,000 vehicles over potentially faulty doors that could open in a crash",Automobile
Honda recalling more than 2.5 million vehicles over potential fuel pump issue,Automobile
New car sales are expected to rise slightly next year in the U.S.,Automobile
"Will 2024 be a good time to buy a car? Here’s what to expect, auto experts say",Automobile
How Tesla rose to retail investor stardom: ‘It’s always in people’s minds’,Automobile
Tesla hiring Nordic policy expert as ‘WWE-like standoff’ with unions intensifies,Automobile
"Tesla drivers had highest accident rate, BMW drivers highest DUI rate, study finds",Automobile
GM has cut its Buick dealership network in half through buyouts,Automobile
Tesla to raise pay for hourly Nevada Gigafactory workers in January — could stave off union interest,Automobile
Nikola founder Trevor Milton sentenced to four years in prison for fraud,Automobile
Cruise is in danger of becoming GM’s latest trendy venture that doesn’t pay off,Automobile
"GM to lay off 1,300 Michigan workers as vehicles end production",Automobile
"GM’s Cruise laying off 900 employees, or 24% of its workforce: Read the memo here",Automobile
Cadillac reveals three-row Vistiq to round out electric SUV lineup,Automobile
Top EVs are losing tax credits next year as U.S. boots China from supply chain – the stocks at risk,Automobile
GM’s Cruise robotaxi unit dismisses nine ‘key leaders’ amid safety investigation,Automobile
Why Ford should double down on hybrids as it backs off EVs,Automobile
Ford cuts planned 2024 production of electric F-150 Lightning in half,Automobile
"UAW files unfair labor practice charges against Hyundai, Honda and VW, alleging union busting",Automobile
"China’s livestream shopping is booming, fueling new tech such as avatars and AI",Automobile
Why automakers are turning to hybrids in the middle of the industry’s EV transition,Automobile
"Musk’s Scandinavian woes deepen as Tesla loses Swedish court case, Finnish union joins port blockade",Automobile
Why the U.S. has a serious mining worker shortage,Automobile
Why experts say falling EV prices could actually hinder widespread adoption,Automobile
"Ferrari’s $400,000 Purosangue is a dream to drive. Just don’t call it an SUV",Automobile
Jim Cramer gets answers from the CEOs of Amazon and Ford. Here’s where he stands,Automobile
‘You can’t just make your own rules’: Tesla faces Scandi revolt as Danes join Swedish strike,Automobile
Waymo is full speed ahead as safety incidents and regulators stymie competitor Cruise,Automobile
"Stellantis resurrects small Fiat 500e EV for the U.S., starting at $34,095",Automobile
China’s EV carmaker Nio jumps 4% after reporting narrower-than-expected losses,Automobile
Ford’s strong hybrid sales show the company needs to pivot to increase profits,Automobile
Jim Cramer’s top 10 things to watch in the stock market Monday,Automobile
How $100 billion mining giant Rio Tinto is poised to benefit from the EV boom,Automobile
Elon Musk hypes Tesla Cybertruck at deliveries event in Austin,Automobile
"Ford reinstates 2023 guidance, says UAW deal to cost $8.8 billion over life of the contract",Automobile
"UAW launches union campaigns at Tesla, 12 other automakers in the U.S.",Automobile
GM says union labor deals will increase costs by $9.3 billion,Automobile
"GM initiates $10 billion buyback, boosts dividend and reinstates 2023 guidance after UAW strikes",Automobile
"Huawei is pushing its tech into the EV world with new cars, automaker partnerships",Automobile
"2023 was the auto industry’s year of EV investment, but consumers still prefer hybrids",Automobile
How a specialty vehicle manufacturer is electrifying firetrucks,Automobile
Forget Tesla. Portfolio manager names another way — and stock — to play the EV market,Automobile
You can now lease a Rivian R1T electric pickup in select markets,Automobile
Was your car recalled? Here’s how to make sure your car is fit for long-distance travel,Automobile
"Ford to scale back plans for $3.5 billion battery plant as EV demand disappoints, labor costs rise",Automobile
"Analysts love these EV-related stocks, giving 2 of them more than 100% upside",Automobile
Cruise CEO Kyle Vogt resigns from GM-owned robotaxi unit,Automobile
"Ford union workers ratify UAW deal, closing out historic negotiations with Detroit automakers",Automobile
"Cadillac reveals its new entry-level EV, a compact crossover called the Optiq",Automobile
UAW members ratify new contract with Chrysler owner Stellantis,Automobile
Rolls-Royce shares at one-year high despite ‘defective’ engine jibes from Emirates boss,Automobile
Volvo shares tumble to record low as Chinese owner Geely sells off stock,Automobile
CNBC Daily Open: Investors realize they’ve been too optimistic,Automobile
China’s transition to EVs is so fast that Volkswagen is on track for its worst local sales in years,Automobile
"Amazon will allow auto dealers to sell cars on its site, starting with Hyundai",Automobile
"Elon Musk boosts antisemitic tweet, claims ADL and other groups push ‘anti-white’ messaging",Automobile
GM union workers ratify UAW deal following contentious vote,Automobile
GM-UAW deal back on track for ratification after major plant approves pact,Automobile
Here’s why the UAW’s record deals with automakers aren’t getting full support from members,Automobile
Donating a used car can be a charitable gift — but it probably won’t benefit your taxes,Automobile
Fisker shares sink 18% after EV maker discloses ‘material weaknesses’ in financial reporting,Automobile
"Fisker reports wider-than-expected losses, underwhelming deliveries for the third quarter",Automobile
Stellantis offers buyouts to roughly half of U.S. salaried workers,Automobile
"The global EV market is set to hit a milestone soon. These battery stocks will stand out, HSBC says",Automobile
This EV battery stock has potential double-digit gains ahead. UBS thinks it could even surge 100%,Automobile
Startup Li Auto is beating Tesla China’s EV sales,Automobile
"Tesla shares drop 5% after HSBC initiates coverage, says sell",Automobile
Biden says all autoworkers deserve deals like those the UAW won from Detroit automakers,Automobile
"Polestar cuts its guidance as it retools its business plan for lower EV sales, higher profits",Automobile
GM’s Cruise is recalling 950 robotaxis after pedestrian collision,Automobile
China’s truck industry is buying more driver-assist technology,Automobile
Stellantis’ new Ram pickup is an EV — with a gas-powered generator in case the battery runs out,Automobile
Cruise confirms robotaxis rely on human assistance every four to five miles,Automobile
Warren Buffett keeps selling BYD. Why some analysts still say it’s a buy,Automobile
GM is expected to invest $13 billion in U.S. facilities under new UAW deal,Automobile
Why San Francisco’s robotaxi rollout has been such a mess,Automobile
"UAW has Tesla, Toyota in its sights after contract wins at Detroit automakers",Automobile
Here are 4 big trades for the portfolio this week and 2 difficult rating changes,Automobile
Chinese Tesla rival Nio cuts 10% of workforce as CEO predicts ‘intense competition’,Automobile
"UAW-Stellantis deal includes $18.9 billion in investments, new truck for idled plant",Automobile
Nissan CEO weighs in on how the EV market has changed since Covid,Automobile
Nikola’s loss widens following a costly recall of its battery-electric semi trucks,Automobile
"Ferrari again raises guidance as customers opt for high-priced, personalized sports cars",Automobile
Why one Tesla manager thinks used cars are ‘absolutely pivotal’ for EVs,Automobile
"CNBC Daily Open: The Fed keeps rates, markets celebrate",Automobile
"Chinese EV startups Xpeng, Li Auto deliver a record number of cars in October",Automobile
Toyota raises its outlook as strong hybrid demand juices profits,Automobile
Why dealers say EV sales have slowed,Automobile
"Aston Martin shares plunge on volume target cut, lingering debt",Automobile
UAW strikes cost Stellantis about $3.2 billion in revenue,Automobile
"Winners and losers of the UAW talks with GM, Ford and Stellantis",Automobile
CNBC Daily Open: Market bounce may not last,Automobile
CNBC Daily Open: Markets’ bounce may be short-lived,Automobile
We’re not ready to bail on Ford after the UAW deal. But we have lots of questions,Automobile
"Tesla shares drop 5% on Panasonic battery warning, down 18% since Q3 earnings report",Automobile
"GM reaches tentative deal with UAW, ending strikes at Detroit automakers after six weeks",Automobile
Canadian auto union reaches deal with Stellantis after brief labor strike,Automobile
"UAW deal with Ford includes $8.1 billion in investments, $5,000 ratification bonuses",Automobile
UAW in tentative deal to end labor strike with Stellantis but expands its strike at General Motors,Automobile
"GM, UAW may be nearing a labor deal after marathon negotiating session",Automobile
